quarter,runway_months,funding_stage,revenue_monthly_k,burn_rate_monthly_k,founder_experience,founder_background,sector,milestones_completed,staff_count,equity_given,outcome
3,36.0,seed,38.75,41.93,11,first_time,E-commerce,0,3,24.2,1
6,17.6,seed,0.87,74.67,4,first_time,E-commerce,2,2,24.8,0
2,15.6,bootstrap,16.23,31.09,14,business,Healthtech,0,1,3.5,0
7,25.6,seed,26.18,71.97,14,first_time,Healthtech,2,3,22.6,1
6,36.0,seed,96.79,68.53,2,business,E-commerce,0,2,22.4,1
3,19.1,series_b,7.42,97.71,5,first_time,E-commerce,2,2,43.7,1
1,36.0,series_b,194.55,94.31,9,business,Fintech,0,2,44.3,1
8,14.0,bootstrap,29.48,46.8,8,technical,Healthtech,1,3,4.1,1
4,36.0,angels,62.29,47.02,4,business,SaaS,0,2,12.5,1
8,36.0,angels,62.53,28.17,8,business,Fintech,2,0,13.9,0
6,36.0,bootstrap,75.22,43.53,15,business,E-commerce,2,0,2.4,1
7,18.4,bootstrap,3.13,22.86,5,first_time,AI,1,0,1.9,0
7,29.7,series_b,11.47,75.14,4,business,AI,3,4,41.5,0
2,6.7,bootstrap,2.09,20.0,12,technical,AI,0,0,0.3,1
3,36.0,angels,41.42,54.25,9,first_time,Fintech,0,2,11.0,1
4,19.7,series_a,12.79,78.55,11,technical,SaaS,2,3,33.7,0
4,36.0,bootstrap,20.51,20.0,10,first_time,E-commerce,2,1,0.9,0
1,36.0,angels,46.25,44.25,12,first_time,E-commerce,0,3,14.5,1
5,21.3,series_b,16.25,112.54,11,first_time,E-commerce,2,4,40.4,0
2,36.0,angels,92.54,43.23,10,first_time,Healthtech,0,0,10.3,1
6,15.4,bootstrap,11.75,32.52,7,first_time,SaaS,0,1,2.4,0
6,22.6,bootstrap,31.02,50.64,7,technical,Healthtech,1,1,1.1,1
8,36.0,series_b,166.15,106.93,4,technical,Fintech,3,3,40.5,1
6,9.9,bootstrap,4.92,50.33,7,technical,Healthtech,1,2,0.3,0
3,36.0,angels,128.93,20.0,10,first_time,AI,1,1,12.6,1
8,4.1,bootstrap,8.56,61.0,11,technical,E-commerce,2,1,1.3,0
4,36.0,angels,186.09,59.55,12,technical,E-commerce,0,3,12.8,1
3,16.1,series_b,13.8,131.92,6,first_time,Healthtech,2,3,40.7,0
8,23.5,angels,0.85,38.27,11,business,AI,2,2,10.1,0
3,36.0,series_b,28.04,68.55,7,technical,Fintech,3,4,40.1,1
1,18.2,bootstrap,16.89,35.11,6,first_time,Healthtech,0,0,0.6,0
4,36.0,angels,43.1,45.87,3,first_time,SaaS,0,0,14.0,1
7,36.0,series_a,122.43,89.8,4,business,SaaS,3,3,32.2,1
2,36.0,angels,51.21,66.12,11,business,SaaS,0,2,13.1,0
4,7.4,bootstrap,10.54,33.69,4,business,E-commerce,0,2,4.4,0
2,36.0,series_a,144.56,76.39,2,technical,AI,3,3,31.1,1
6,11.9,angels,3.97,57.84,5,business,SaaS,3,0,14.4,0
4,14.0,angels,1.92,46.16,15,technical,Fintech,1,3,13.7,0
3,23.8,series_b,19.82,89.9,3,first_time,Healthtech,2,4,43.6,1
2,2.8,bootstrap,3.84,50.56,3,first_time,Fintech,3,1,4.4,0
5,10.3,bootstrap,13.55,53.9,7,first_time,Fintech,1,0,0.6,0
6,10.4,bootstrap,25.61,51.26,6,first_time,AI,1,1,2.7,0
8,36.0,angels,219.47,47.48,14,first_time,E-commerce,2,3,12.4,1
4,6.9,bootstrap,7.22,20.0,4,technical,Fintech,2,0,3.3,0
2,36.0,seed,79.3,62.78,7,first_time,E-commerce,2,2,21.2,1
7,19.4,bootstrap,4.34,23.63,5,first_time,E-commerce,0,1,0.6,1
6,19.3,seed,4.67,63.05,4,first_time,E-commerce,1,3,24.9,0
6,12.0,bootstrap,0.83,24.93,5,first_time,Fintech,1,0,2.3,0
1,36.0,angels,74.94,49.69,4,first_time,Healthtech,0,2,11.2,1
3,36.0,bootstrap,110.1,20.0,11,first_time,E-commerce,1,0,0.6,1
7,36.0,seed,237.69,45.79,12,business,AI,2,4,23.0,1
7,17.1,angels,33.11,68.34,3,first_time,AI,3,2,10.7,1
4,20.0,angels,2.64,35.46,8,first_time,Fintech,1,2,10.9,1
7,26.3,series_a,21.61,80.0,4,technical,E-commerce,2,4,34.8,1
7,36.0,angels,92.07,64.32,14,first_time,AI,3,3,10.1,1
4,3.1,bootstrap,6.93,48.71,2,first_time,Healthtech,2,2,0.9,0
8,36.0,series_a,103.35,91.92,7,first_time,E-commerce,3,2,33.4,1
3,4.7,bootstrap,10.11,39.54,5,business,E-commerce,1,1,1.1,0
2,6.0,bootstrap,19.93,45.86,6,technical,SaaS,0,0,0.9,0
6,36.0,angels,94.43,70.6,15,technical,SaaS,3,1,12.8,1
6,3.4,bootstrap,16.26,41.38,9,technical,Healthtech,2,2,3.5,0
2,36.0,bootstrap,136.81,20.0,6,first_time,Healthtech,0,2,2.2,1
7,36.0,seed,40.54,57.07,13,business,Healthtech,2,2,23.9,1
2,3.2,bootstrap,12.43,45.45,12,business,Fintech,1,1,4.1,0
7,36.0,series_a,78.66,70.59,3,technical,E-commerce,3,4,33.1,0
1,18.3,series_b,8.78,119.3,7,business,SaaS,2,3,42.9,0
7,36.0,seed,143.69,64.05,7,technical,Fintech,1,4,24.1,1
7,36.0,seed,41.96,66.28,7,technical,Healthtech,2,2,20.1,1
7,36.0,seed,104.84,81.87,6,technical,Healthtech,1,2,22.6,1
6,36.0,series_b,113.67,92.26,13,technical,AI,3,3,40.6,0
4,18.8,bootstrap,24.63,37.64,15,technical,AI,2,1,1.1,1
6,10.7,bootstrap,27.56,48.49,1,technical,AI,3,1,4.7,1
3,36.0,angels,16.75,27.92,13,business,SaaS,0,0,10.0,1
7,36.0,angels,92.74,45.72,13,business,E-commerce,2,1,11.5,0
5,1.2,bootstrap,0.02,47.44,6,business,Fintech,1,0,0.8,1
4,21.0,seed,6.6,65.98,8,technical,AI,3,3,22.9,0
5,24.8,bootstrap,37.23,57.01,2,first_time,E-commerce,0,0,4.2,0
5,36.0,series_b,404.06,71.36,6,business,Healthtech,3,4,42.0,1
1,4.4,bootstrap,8.06,20.0,4,business,SaaS,0,1,4.2,0
2,9.2,bootstrap,4.31,46.55,14,business,AI,0,1,2.2,1
2,10.4,bootstrap,18.52,47.99,2,business,Healthtech,0,1,4.5,0
1,3.3,bootstrap,4.08,32.1,6,first_time,Fintech,0,1,4.2,0
4,11.7,bootstrap,0.72,41.01,8,technical,Fintech,2,0,0.9,0
6,14.6,bootstrap,18.9,46.18,15,first_time,Fintech,0,0,4.4,1
6,5.8,bootstrap,3.0,22.79,13,first_time,AI,3,0,1.0,0
4,36.0,bootstrap,26.2,24.4,15,first_time,SaaS,1,0,2.5,0
7,19.2,angels,26.43,52.85,5,business,Healthtech,1,2,11.0,1
5,36.0,angels,153.47,63.56,5,first_time,E-commerce,0,3,11.9,0
1,36.0,bootstrap,23.13,20.0,9,technical,Healthtech,0,0,4.9,1
7,36.0,bootstrap,34.42,32.03,6,technical,E-commerce,2,0,3.8,1
5,35.3,bootstrap,17.59,31.34,1,business,E-commerce,2,0,2.8,0
6,25.4,bootstrap,29.17,41.27,13,technical,Fintech,0,0,4.7,0
5,36.0,bootstrap,46.4,34.87,2,first_time,SaaS,1,2,1.8,0
5,36.0,seed,59.5,56.81,3,first_time,Fintech,3,2,20.9,1
1,36.0,series_b,99.62,113.73,15,business,Healthtech,3,3,44.1,1
5,33.9,series_b,26.01,86.91,11,technical,E-commerce,2,2,40.1,1
7,19.7,angels,1.5,45.62,10,business,E-commerce,0,2,14.0,0
3,36.0,angels,18.64,26.13,2,technical,AI,1,1,10.1,1
5,36.0,bootstrap,20.48,24.3,4,business,SaaS,0,1,1.4,0
1,36.0,seed,128.0,72.74,4,business,AI,0,2,21.8,1
3,36.0,seed,59.24,69.81,10,technical,Fintech,1,3,21.6,1
4,36.0,series_a,329.27,88.99,8,technical,SaaS,3,3,31.2,1
8,36.0,series_a,115.43,88.26,6,business,Healthtech,2,3,30.5,1
2,36.0,angels,102.34,81.32,12,technical,Healthtech,0,1,10.0,1
3,36.0,seed,496.63,53.78,12,business,E-commerce,0,2,23.9,1
4,36.0,series_a,277.32,55.71,12,business,Fintech,1,4,32.3,1
8,36.0,bootstrap,83.62,20.0,2,first_time,SaaS,1,0,0.8,1
7,36.0,series_b,78.99,84.45,10,first_time,AI,3,4,40.4,1
1,19.3,bootstrap,4.91,20.39,4,technical,AI,0,1,1.4,0
2,36.0,series_b,64.08,96.4,5,first_time,E-commerce,3,2,41.8,1
7,15.3,seed,7.47,83.79,15,business,E-commerce,2,2,22.3,0
1,1.7,bootstrap,3.44,58.09,7,technical,E-commerce,0,1,0.5,0
7,12.4,seed,1.98,72.56,12,business,Fintech,2,3,24.9,0
3,5.0,bootstrap,0.04,67.12,4,first_time,Healthtech,0,1,1.3,0
8,36.0,seed,203.85,59.65,15,technical,Fintech,3,4,22.2,1
3,36.0,seed,306.6,40.51,5,first_time,Healthtech,2,3,23.5,1
4,36.0,seed,98.51,80.8,3,technical,SaaS,0,2,21.6,0
6,36.0,series_a,101.64,52.42,5,first_time,E-commerce,3,4,30.4,1
2,36.0,bootstrap,18.95,23.67,3,business,Fintech,0,2,1.9,1
5,36.0,bootstrap,101.95,42.8,9,business,Healthtech,0,1,2.8,1
5,25.1,angels,22.52,48.46,3,business,Healthtech,0,2,14.2,0
7,36.0,bootstrap,42.6,32.14,4,business,Healthtech,3,1,1.8,0
8,36.0,angels,15.89,32.29,11,business,AI,2,2,14.4,1
6,5.5,bootstrap,7.84,34.84,1,technical,SaaS,1,1,2.7,0
4,36.0,angels,71.29,65.05,7,technical,SaaS,1,0,13.6,1
4,36.0,angels,84.05,50.3,11,business,Fintech,0,3,10.2,0
4,25.2,series_a,14.56,67.55,7,technical,E-commerce,1,3,34.5,1
7,36.0,bootstrap,30.01,20.0,1,technical,E-commerce,2,1,1.1,0
3,36.0,series_a,119.15,67.86,3,business,AI,0,3,31.6,1
2,13.3,angels,12.57,55.89,15,business,Healthtech,0,1,12.6,1
3,36.0,bootstrap,71.69,40.15,12,first_time,E-commerce,0,1,4.8,1
1,36.0,angels,39.38,37.99,6,business,Fintech,1,1,11.7,1
1,36.0,angels,24.48,20.0,14,first_time,Healthtech,0,2,11.1,0
1,15.0,bootstrap,11.55,41.3,1,first_time,Healthtech,0,0,4.8,1
7,36.0,angels,24.8,36.53,1,technical,AI,2,2,14.0,0
6,7.6,bootstrap,1.4,45.34,14,first_time,E-commerce,0,2,3.3,0
6,36.0,angels,81.02,38.66,11,business,Healthtech,2,4,12.0,1
4,36.0,angels,171.73,35.18,9,technical,Fintech,2,2,12.1,1
6,36.0,angels,124.71,52.3,6,business,Fintech,2,2,14.8,1
2,20.5,series_a,54.41,115.37,13,technical,Healthtech,1,3,30.3,1
8,8.5,bootstrap,35.34,46.24,10,technical,E-commerce,2,0,3.8,0
5,36.0,series_b,60.83,97.04,7,business,AI,2,3,43.0,1
8,15.8,seed,14.03,70.38,6,technical,Fintech,2,2,24.8,1
2,36.0,series_b,67.57,68.73,6,technical,Healthtech,2,4,42.8,1
4,36.0,series_a,55.23,63.16,9,business,AI,0,3,31.4,1
6,26.4,bootstrap,5.5,20.0,10,technical,E-commerce,1,0,3.9,0
4,13.6,angels,29.13,75.95,13,first_time,Fintech,1,2,14.9,1
4,3.5,bootstrap,16.79,57.91,7,first_time,E-commerce,1,1,4.5,0
2,32.6,series_a,34.82,85.89,4,business,AI,3,2,31.5,1
4,14.4,angels,3.18,52.03,9,business,E-commerce,2,1,11.7,0
2,18.0,bootstrap,7.07,20.0,9,business,AI,0,0,3.8,0
3,36.0,series_b,303.9,91.71,5,technical,Healthtech,2,3,43.0,1
6,3.8,bootstrap,22.83,61.89,2,business,Fintech,1,1,0.1,0
6,21.6,angels,21.9,51.97,5,technical,SaaS,2,1,10.7,0
5,29.5,seed,26.1,56.53,2,technical,AI,2,2,20.4,1
3,36.0,bootstrap,28.56,20.0,2,first_time,Healthtech,0,2,0.9,0
8,10.7,angels,11.63,70.7,15,business,Healthtech,1,2,11.5,0
1,31.2,series_a,28.79,78.95,12,first_time,Fintech,2,4,34.8,0
3,36.0,bootstrap,49.41,20.0,1,business,SaaS,0,0,3.4,1
1,36.0,angels,33.11,36.14,6,business,SaaS,0,2,10.3,0
3,27.0,bootstrap,4.74,20.0,4,first_time,Healthtech,0,1,3.0,0
8,20.5,seed,2.39,63.02,15,first_time,SaaS,3,0,22.2,0
3,36.0,bootstrap,94.16,38.11,7,business,AI,0,0,3.8,1
8,22.9,series_b,0.31,87.45,4,first_time,SaaS,2,3,44.4,1
4,36.0,series_a,85.35,91.66,10,first_time,Fintech,2,1,30.3,0
6,36.0,bootstrap,28.42,36.18,8,business,SaaS,0,0,4.9,0
4,7.4,bootstrap,21.74,50.93,3,technical,Fintech,1,2,0.3,0
3,36.0,angels,27.25,44.64,5,business,Fintech,0,1,13.7,1
7,36.0,seed,162.23,110.68,2,technical,Fintech,2,2,24.5,1
8,36.0,angels,118.85,41.53,11,first_time,Fintech,3,1,13.8,1
3,14.0,bootstrap,13.82,21.45,15,technical,Healthtech,0,2,0.8,0
7,36.0,bootstrap,19.06,20.0,13,business,Fintech,1,2,1.0,0
3,36.0,series_b,101.88,91.84,6,technical,Healthtech,2,4,40.2,1
6,36.0,angels,61.87,24.21,8,first_time,SaaS,1,2,10.7,1
7,26.3,series_a,24.78,84.42,1,business,Healthtech,2,4,30.3,0
4,36.0,angels,3.64,21.42,6,business,AI,2,1,10.3,1
6,36.0,series_b,76.5,97.43,1,technical,Fintech,2,3,42.8,1
3,22.2,bootstrap,2.95,20.0,12,technical,E-commerce,2,1,0.4,0
1,32.8,bootstrap,16.86,29.28,14,technical,E-commerce,1,0,2.1,0
1,36.0,series_b,222.88,104.07,3,technical,AI,1,4,43.5,1
4,36.0,series_b,85.97,129.56,11,technical,E-commerce,3,4,40.1,1
8,36.0,bootstrap,20.13,20.0,9,first_time,E-commerce,1,0,3.2,1
2,36.0,angels,49.46,47.75,7,first_time,AI,1,1,13.8,0
4,36.0,angels,74.03,39.14,12,technical,Fintech,2,1,12.7,1
6,36.0,angels,46.11,36.95,11,business,AI,2,3,12.4,1
2,17.5,bootstrap,14.57,24.28,5,technical,E-commerce,0,0,3.7,1
6,36.0,series_a,58.97,92.36,12,technical,E-commerce,2,2,32.6,1
3,9.7,bootstrap,5.43,27.68,10,business,Healthtech,1,0,2.5,0
7,21.4,seed,45.12,98.74,5,first_time,Fintech,2,2,24.0,0
5,36.0,bootstrap,37.3,41.24,12,technical,E-commerce,0,0,4.2,0
5,36.0,bootstrap,13.12,20.0,10,first_time,E-commerce,1,0,1.8,0
2,36.0,seed,35.95,59.5,2,first_time,E-commerce,0,2,22.1,1
4,36.0,bootstrap,20.87,22.97,3,first_time,Fintech,0,0,4.0,0
7,18.4,seed,14.65,77.0,5,first_time,Healthtech,2,3,22.7,0
1,6.2,bootstrap,2.33,20.0,1,business,Healthtech,0,0,3.4,1
7,36.0,series_b,173.09,74.89,7,technical,AI,2,3,40.4,1
4,33.9,seed,27.03,56.13,7,technical,SaaS,1,3,20.5,0
6,28.8,series_a,32.25,90.24,12,business,SaaS,2,4,32.7,1
6,36.0,bootstrap,51.93,53.5,3,first_time,SaaS,0,0,4.1,1
4,36.0,bootstrap,60.86,55.71,9,business,Fintech,2,1,1.6,1
3,24.1,angels,36.63,57.95,10,technical,Healthtech,1,4,14.8,0
6,36.0,angels,51.8,48.76,7,first_time,E-commerce,2,1,13.8,0
2,36.0,bootstrap,85.14,46.92,14,first_time,Healthtech,0,0,3.9,0
5,36.0,bootstrap,12.84,20.0,5,first_time,E-commerce,1,1,4.2,0
1,36.0,angels,103.16,22.33,7,technical,Healthtech,1,3,11.3,1
6,36.0,bootstrap,33.18,41.55,1,first_time,Fintech,2,0,1.7,0
6,36.0,angels,156.38,34.91,7,technical,Healthtech,2,2,10.6,1
1,9.5,bootstrap,6.45,34.02,1,first_time,Healthtech,0,1,1.9,1
7,36.0,bootstrap,41.19,36.79,15,business,E-commerce,3,0,0.2,0
4,20.9,seed,13.61,68.72,4,technical,Fintech,1,2,23.8,0
7,36.0,angels,85.09,64.07,13,first_time,AI,2,2,14.0,0
1,4.6,bootstrap,9.71,47.48,2,first_time,Healthtech,0,0,1.1,0
2,13.5,angels,2.99,52.93,5,technical,Healthtech,0,1,12.4,1
4,36.0,seed,138.81,58.37,2,technical,Healthtech,1,3,23.4,1
2,10.8,angels,2.76,51.62,6,technical,Healthtech,2,1,13.7,0
3,36.0,angels,96.88,41.06,10,first_time,SaaS,1,2,14.8,1
6,28.1,series_b,28.33,92.05,7,technical,AI,1,3,41.0,1
2,10.7,angels,43.14,89.27,10,first_time,E-commerce,0,2,11.2,1
6,20.1,series_a,3.47,82.73,13,business,Fintech,2,3,34.3,0
1,17.8,seed,6.14,71.75,1,technical,Fintech,0,3,20.5,0
2,26.3,bootstrap,7.38,24.42,7,technical,E-commerce,0,0,3.9,0
5,20.3,angels,23.26,65.3,9,first_time,Healthtech,1,2,10.7,0
7,15.9,seed,15.18,76.4,8,business,SaaS,2,4,22.3,0
2,21.4,series_b,15.83,106.51,3,first_time,Healthtech,1,4,43.0,0
3,19.9,angels,7.95,53.22,4,business,AI,0,2,13.8,0
8,4.7,bootstrap,16.71,50.51,6,technical,Fintech,1,1,0.6,0
8,10.0,angels,3.09,69.08,10,first_time,Fintech,2,0,14.1,0
5,36.0,bootstrap,60.41,39.25,15,first_time,SaaS,0,1,4.3,1
4,36.0,seed,194.4,63.28,6,first_time,Fintech,2,3,24.0,1
3,14.5,angels,3.42,63.42,8,first_time,AI,1,2,14.7,0
5,36.0,seed,96.93,51.44,5,business,Healthtech,1,2,24.4,1
5,36.0,series_a,121.17,69.23,1,technical,SaaS,0,3,33.8,1
3,36.0,seed,63.5,64.2,6,first_time,Fintech,1,4,22.9,1
1,36.0,seed,22.46,38.88,6,business,E-commerce,2,2,24.0,0
2,36.0,seed,63.77,77.41,3,technical,Fintech,2,3,24.9,0
8,36.0,series_a,201.87,65.56,11,business,AI,3,3,33.2,1
4,36.0,series_a,36.16,72.93,4,first_time,E-commerce,1,1,31.2,0
4,36.0,bootstrap,39.12,31.8,4,first_time,AI,1,0,1.2,0
4,36.0,angels,32.16,50.59,6,first_time,AI,2,2,14.0,1
7,36.0,bootstrap,55.44,29.85,15,first_time,SaaS,2,0,4.9,0
1,36.0,series_a,100.71,78.99,10,first_time,SaaS,2,3,31.1,0
1,36.0,seed,136.49,64.11,7,business,Fintech,1,2,24.9,1
3,36.0,angels,156.45,43.29,13,business,E-commerce,2,1,11.3,1
4,34.9,bootstrap,14.13,23.4,1,technical,Fintech,0,1,2.1,0
6,14.1,bootstrap,28.14,51.22,6,technical,E-commerce,3,3,4.5,0
4,36.0,seed,277.74,33.43,9,first_time,Healthtech,2,2,24.8,1
4,36.0,bootstrap,138.87,31.91,8,business,AI,1,2,2.8,1
8,36.0,bootstrap,20.66,27.97,11,technical,SaaS,2,0,4.8,0
2,36.0,series_a,301.4,86.28,11,first_time,AI,0,1,34.2,1
5,36.0,seed,35.84,43.19,7,technical,E-commerce,2,3,24.3,1
5,9.3,bootstrap,12.84,27.5,14,first_time,Healthtech,2,0,4.3,0
4,36.0,bootstrap,69.14,33.46,14,business,SaaS,2,1,1.9,1
7,36.0,series_b,131.32,111.05,8,technical,Healthtech,2,4,40.2,1
3,36.0,seed,140.3,69.98,14,business,Healthtech,1,2,20.8,1
8,36.0,seed,36.32,47.25,10,business,SaaS,3,4,20.4,1
3,36.0,bootstrap,40.98,27.69,3,business,Fintech,0,1,1.2,0
5,36.0,bootstrap,48.04,48.29,2,business,Fintech,1,0,0.3,1
5,15.6,bootstrap,12.35,20.0,2,technical,Fintech,2,0,1.4,0
7,36.0,seed,56.63,63.82,4,technical,Healthtech,2,1,22.9,1
4,3.8,bootstrap,10.2,34.86,5,first_time,SaaS,0,1,0.7,0
3,36.0,bootstrap,54.63,29.21,2,business,SaaS,0,0,1.6,0
1,36.0,seed,94.83,105.44,10,technical,Healthtech,2,2,21.1,1
3,31.9,series_b,24.12,88.81,7,business,SaaS,2,2,40.5,0
7,36.0,seed,245.25,71.75,10,business,E-commerce,3,3,23.4,0
1,36.0,angels,55.15,38.51,8,technical,Fintech,0,1,14.5,0
8,28.0,angels,25.97,57.92,5,technical,AI,2,4,13.6,1
5,36.0,angels,51.28,63.06,10,first_time,SaaS,1,1,13.4,1
2,19.9,bootstrap,6.07,26.18,15,technical,SaaS,1,0,4.9,1
3,27.3,angels,19.68,49.18,5,technical,E-commerce,0,0,13.7,0
5,36.0,angels,101.45,36.57,5,first_time,Healthtech,1,0,10.2,0
3,36.0,angels,19.45,32.83,8,technical,E-commerce,1,3,11.1,1
1,36.0,series_a,414.77,95.55,13,business,AI,1,2,33.2,1
6,33.1,series_b,35.94,86.69,8,first_time,SaaS,3,3,43.2,0
6,36.0,bootstrap,56.33,20.0,13,business,E-commerce,1,1,4.2,1
1,36.0,angels,118.56,76.48,2,business,SaaS,0,3,10.8,0
3,36.0,bootstrap,32.13,22.97,2,business,Fintech,0,1,4.9,1
2,14.9,angels,13.45,46.3,7,first_time,Healthtech,1,2,12.6,0
6,1.3,bootstrap,11.88,59.61,4,technical,E-commerce,2,2,4.6,0
6,12.9,bootstrap,18.75,32.87,1,business,Fintech,0,0,2.6,0
6,36.0,seed,120.49,62.55,4,first_time,SaaS,3,3,20.9,1
8,36.0,angels,209.6,31.58,5,business,E-commerce,1,2,11.8,1
7,36.0,series_a,121.99,55.48,14,business,AI,3,3,31.1,1
3,36.0,bootstrap,30.47,32.5,12,first_time,AI,2,0,1.3,1
1,36.0,bootstrap,39.33,40.44,6,technical,Healthtech,1,0,4.5,1
5,20.7,angels,32.16,54.58,15,business,Healthtech,0,2,11.9,1
8,20.1,bootstrap,6.49,27.78,13,technical,AI,0,1,0.9,0
8,36.0,bootstrap,59.91,35.3,4,technical,SaaS,3,2,1.8,0
2,36.0,series_b,500.0,67.44,8,first_time,Healthtech,2,2,43.1,1
2,36.0,bootstrap,43.96,41.9,14,first_time,E-commerce,0,1,1.0,1
1,16.1,bootstrap,8.4,37.42,7,technical,E-commerce,0,1,0.3,0
2,35.9,angels,54.54,79.6,6,business,Fintech,1,2,14.4,1
5,36.0,angels,62.27,50.11,14,first_time,SaaS,2,0,11.2,0
5,36.0,angels,29.56,35.86,10,first_time,Healthtech,2,1,14.7,1
3,36.0,angels,59.7,49.24,7,business,Fintech,0,1,10.2,0
3,36.0,series_a,391.19,75.08,14,business,AI,1,2,33.3,1
7,4.9,bootstrap,17.95,41.52,12,first_time,SaaS,2,2,3.3,0
4,36.0,angels,40.94,50.4,6,first_time,Healthtech,0,0,10.8,0
7,36.0,seed,95.72,46.1,7,business,SaaS,2,1,23.3,1
8,36.0,series_a,78.3,55.46,1,business,Healthtech,3,3,31.9,1
3,36.0,angels,101.35,53.94,2,first_time,Healthtech,0,0,11.9,1
2,13.5,angels,29.52,70.75,15,first_time,E-commerce,2,1,14.4,0
8,16.8,bootstrap,27.05,36.19,1,first_time,Healthtech,1,2,4.8,0
6,36.0,bootstrap,41.23,47.2,13,business,AI,0,0,0.9,0
3,3.5,bootstrap,7.14,50.19,4,first_time,SaaS,0,1,3.4,1
5,36.0,seed,61.73,69.0,9,first_time,AI,2,2,20.8,1
5,15.3,bootstrap,17.33,22.78,11,technical,Healthtech,0,1,0.2,1
8,36.0,seed,49.26,67.93,15,technical,E-commerce,3,2,20.7,0
3,4.4,bootstrap,13.4,53.11,6,business,Healthtech,1,1,3.2,0
8,24.2,series_a,21.92,87.95,14,first_time,Fintech,3,2,33.6,1
8,36.0,series_a,138.43,91.22,7,technical,Healthtech,3,3,32.5,1
2,10.5,bootstrap,3.04,28.06,14,technical,AI,1,0,4.8,0
2,36.0,bootstrap,59.16,31.96,2,technical,Fintech,1,1,3.8,0
5,18.5,bootstrap,11.38,33.22,5,first_time,Fintech,1,1,0.8,0
1,36.0,series_a,40.79,79.23,10,business,SaaS,3,3,31.0,1
3,9.1,bootstrap,10.9,52.52,11,technical,Fintech,0,1,3.0,0
4,36.0,angels,139.12,20.0,13,first_time,SaaS,0,1,11.7,1
8,28.2,angels,24.24,50.46,6,first_time,AI,3,2,10.0,1
8,36.0,seed,70.34,63.81,10,first_time,E-commerce,3,1,20.1,0
2,36.0,angels,7.06,29.43,10,business,Fintech,1,2,12.0,1
8,36.0,angels,106.11,60.08,15,business,E-commerce,3,2,12.6,1
1,36.0,series_b,320.66,84.13,2,first_time,AI,2,3,43.3,0
6,16.2,bootstrap,1.09,29.64,1,technical,E-commerce,2,1,3.8,0
